PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
5kkZA,1r3rk1/1pq1bppp/2p1b3/p1N5/4B1n1/3P3Q/PPP2PPP/R1B1R1K1 b - - 10 18,g4f2 h3h7,631,78,100,917,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/EBVk13Xh/black#36,French_Defense French_Defense_Knight_Variation
5koc1,r2q1rk1/pbp1np2/1p2p2p/P7/2P1n1p1/1QP1PNB1/5PPP/R3KB1R w KQ - 0 15,f3e5 d8d2,791,77,100,337,mate mateIn1 middlegame oneMove,https://lichess.org/NKM8A7FJ#29,Indian_Defense Indian_Defense_London_System
5kq0r,4k3/5p1p/8/8/P2Pb3/1RP5/1P1r1P1P/6K1 w - - 1 38,a4a5 d2d1,736,97,100,67,endgame mate mateIn1 oneMove,https://lichess.org/uaK7jk8V#75,
5kuEM,2krr3/1p1q1ppp/ppn5/8/8/1PPp1QnP/PB1P1PB1/2K3NR w - - 3 20,f3g3 e8e1,635,80,100,124,mate mateIn1 middlegame oneMove,https://lichess.org/ro5KIqP3#39,
5l1w8,2r3k1/6p1/p2p4/4pPp1/p2pP3/Pn1P2PP/1P1NR3/1RrK4 w - - 10 31,b1c1 c8c1,403,102,100,123,endgame master mate mateIn1 oneMove,https://lichess.org/SqPNp5SL#61,
5l4zj,2kr4/1pp2p2/p3p1pB/4P3/P7/2R2PP1/1PP1b2P/2K5 w - - 1 22,f3f4 d8d1,791,105,100,24,endgame mate mateIn1 oneMove,https://lichess.org/hZci82V2#43,
5l6to,4kb1r/4ppp1/2n4p/1q6/4P3/3n1P1P/P1QB1P2/1R3K1R b k - 3 23,c6b4 c2c8,564,86,100,203,mate mateIn1 middlegame oneMove,https://lichess.org/Gd3FGHqp/black#46,
5lF02,r1bq1knr/pp2b1pp/3p4/n2Qp2B/3pP3/2P2N2/PP3PPP/RNB1K2R b KQ - 1 9,g8f6 d5f7,697,77,98,284,mate mateIn1 oneMove opening,https://lichess.org/IHxKt1Li/black#18,Sicilian_Defense Sicilian_Defense_Morphy_Gambit
5lGrz,1r1q1rk1/p1p1bppp/4pn2/8/4P3/1PQb1N2/PB1P1PPP/RN2K2R b KQ - 6 15,f6e4 c3g7,453,89,100,169,kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/Go2V6IWQ/black#30,Vant_Kruijs_Opening Vant_Kruijs_Opening_Other_variations
5lHGH,r2q1rk1/1p1b2b1/p2Npp1p/3n2p1/PP1P1PPn/3Q4/2BBN2P/R2R2K1 b - - 3 23,d8b6 d3h7,456,82,100,566,master mate mateIn1 middlegame oneMove,https://lichess.org/badUbWro/black#46,
5lJAx,r4rk1/p3bppp/1p3N2/2pq4/3n4/3Q2P1/PPB2PP1/R3R1K1 b - - 1 18,e7f6 d3h7,582,79,100,91,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/qV6u2moQ/black#36,Queens_Gambit_Declined Queens_Gambit_Declined_Other_variations
5lNuP,r1b2rk1/p4pbp/2p1p1pB/3q4/N2P4/1P2p1P1/P2QPP1P/2R1K2R w K - 0 17,h6e3 d5h1,731,89,100,83,backRankMate hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/FMzGyKKB#33,Kings_Indian_Attack Kings_Indian_Attack_Symmetrical_Defense
5lWAN,1r4k1/1P3ppp/4p3/3p4/3P4/4P2P/5PP1/2R3K1 b - - 2 38,b8b7 c1c8,409,88,100,138,backRankMate endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/YVtr4f1w/black#76,
5lhJR,6k1/Rp2rpp1/7p/1P6/3P4/3n2B1/6PP/6K1 w - - 2 34,g3d6 e7e1,400,92,100,397,endgame mate mateIn1 oneMove,https://lichess.org/jAlxgaal#67,
5liOX,2r4k/1pr2B1p/3Q2p1/P3B1q1/4P1b1/1p4N1/5PPP/2n2R1K b - - 0 31,g5e5 d6e5,736,81,97,1835,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/YT0v8vzB/black#62,
5lpn3,r5rk/pbq2p1p/3bpp2/2p4Q/3P4/P1NBP1P1/2P2P1P/R3K2R b KQ - 1 17,b7h1 h5h7,550,95,100,353,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/ZH5kkc5z/black#34,Rapport-Jobava_System Rapport-Jobava_System_Other_variations
5ltlW,3r1rk1/1b3pp1/p1q1p2p/4P3/1b1p4/2NQ4/1PP2PPP/R1NR2K1 w - - 0 26,c3e2 c6g2,480,82,100,160,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/G7AyyyLZ#51,
5lzYX,r3r1k1/pp3pbp/2p3p1/3n4/2N2B2/1Q3BPb/PP3P1P/R3q1K1 w - - 0 18,a1e1 e8e1,631,80,100,98,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/NwTYgvsK#35,Queens_Pawn_Game Queens_Pawn_Game_Symmetrical_Variation
5m9Uu,r1b2k1r/1pb1nB1p/p2q3p/8/8/1QP2N2/P4PPP/RN3RK1 w - - 3 15,f3d4 d6h2,600,84,100,347,kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/yCl2OYwN#29,Italian_Game Italian_Game_Evans_Gambit
5mD6L,r4rk1/4qppp/b2bpB2/p2p4/1pP5/1P1Q1N2/P1B2PPP/R4RK1 b - - 0 18,e7f6 d3h7,400,92,100,200,master middlegame,https://lichess.org/5BTtAncO/black#36,Semi-Slav_Defense Semi-Slav_Defense_Main_Line
5mHs7,2k5/1pp5/p1nqpQ2/3p1p2/3P4/P1N1P1rr/1PP2P2/R4RK1 w - - 0 18,f2g3 d6g3,716,79,100,101,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/QEHiasKu#35,Queens_Pawn_Game Queens_Pawn_Game_Chigorin_Variation
5mJAj,rnbq1rk1/1pp3p1/p3p1P1/3nPp1Q/3P1B2/2N5/PP3PP1/R3K2R b KQ - 0 15,d5f4 h5h7,400,88,100,105,mate mateIn1 middlegame oneMove,https://lichess.org/vVrB19XL/black#30,Queens_Gambit_Declined Queens_Gambit_Declined_Marshall_Defense
5mMdv,r2k1b1r/Np2pppp/1q3n2/1B1p4/3Pb3/6Q1/PP3PPP/RNB1K2R b KQ - 4 11,a8a7 g3b8,794,77,100,244,mate mateIn1 middlegame oneMove,https://lichess.org/Dkq7GHrp/black#22,Queens_Pawn_Game Queens_Pawn_Game_Anti-Torre
5mOL9,2R5/6p1/6Pk/p5r1/5K2/8/8/8 b - - 4 46,g5g6 c8h8,495,87,100,90,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/XGLhytPQ/black#92,
5mQES,2k3nr/ppp2ppp/1b6/8/N5r1/4BP1b/PPP1B2P/4R1KR w - - 2 17,f3g4 b6e3,686,81,100,129,bodenMate hangingPiece kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/xA0z2kAU#33,Kings_Gambit_Declined Kings_Gambit_Declined_Queens_Knight_Defense
