PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
0EQu4,4rr1k/p1p1Nppp/1b1p4/1P6/P1q3b1/8/1BPQ1PPP/R3R1K1 b - - 0 17,g4e6 b2g7 h8g7 d2g5 g7h8 g5f6,1856,75,98,750,middlegame,https://lichess.org/Fddvxl2k/black#34,Four_Knights_Game Four_Knights_Game_Spanish_Variation
0EhdE,r3k2r/ppp2pp1/1N1qb2p/8/2Bn4/5N2/PPP3PP/R3QRK1 w kq - 0 15,c4e6 d4f3 f1f3 d6b6 g1h1 f7e6,1932,307,100,7,equality long middlegame,https://lichess.org/kXKqUonl#29,
0FG3C,8/3b1pkn/2p3p1/N3P2p/2BP1K2/1Nb3P1/6P1/8 w - - 5 41,b3c5 c3d2 f4f3 d7g4 f3f2 d2a5,1894,75,98,218,advantage endgame fork long,https://lichess.org/INW6plfD#81,
0FhBG,r2q2k1/p1p2rp1/1pP5/3pQ3/5pb1/1B6/PP4PP/2K1R2R b - - 3 21,f7f5 e5e6 g8f8 h2h3 f5f6 e6g4,2070,76,100,72,advantage long middlegame skewer,https://lichess.org/YgZW0mhK/black#42,
0FmEY,N4b1r/pp2kppp/5n2/2p1q3/8/4PK2/P3NPPP/R4Q1R w - - 2 17,h2h3 f6e4 g2g3 e4d2 f3g2 d2f1,2333,88,97,423,advantage fork long middlegame,https://lichess.org/K1KI9EGZ#33,Rapport-Jobava_System_with_e6 Rapport-Jobava_System_with_e6_Other_variations
0GX9N,4r1k1/1p3npp/p7/7q/3R4/2PQ2P1/P2B2KP/8 w - - 4 32,d4h4 h5e2 d3e2 e8e2 g2f3 e2d2,1977,74,98,229,advantage endgame fork long,https://lichess.org/v7G4BUhJ#63,
0Gsa9,4r1k1/pp5q/2npbQ1B/4p3/2PpP3/3P1BPP/PP6/6K1 b - - 2 25,h7e7 f6g6 g8h8 h6g5 e7g5 g6g5,2272,94,100,23,crushing kingsideAttack long middlegame,https://lichess.org/5tHmNEiy/black#50,
0Ha9M,2q3k1/1pn3b1/1Q2p1p1/5p1p/3P1P1P/P3P3/BPrNKBP1/7R w - - 1 29,d4d5 c2b2 b6c5 b7b6 c5c6 b2a2,2132,175,100,9,equality fork long middlegame,https://lichess.org/hk487Rxj#57,
0Hfa8,r1bqr1k1/1p2bp1p/p5pB/3p4/3Q4/3P1N2/PP3PPP/n3R1K1 b - - 1 17,e7f6 e1e8 d8e8 d4f6 e8f8 h6f8,1838,169,100,4,crushing kingsideAttack long middlegame,https://lichess.org/YRp19Flc/black#34,Caro-Kann_Defense Caro-Kann_Defense_Other_variations
0Hi85,r2q1rk1/pp3ppp/3bbn2/3p4/3Pp3/1B2P2P/PB2NPP1/RN1QK2R w KQ - 0 13,b2a3 d6a3 b1a3 d8a5 d1d2 a5a3,1950,236,100,7,equality fork long opening,https://lichess.org/qJZRWT9C#25,
0I76Y,6k1/1b2P1p1/pqn4p/1p1B4/1P4nP/P1P3N1/3r2P1/3RK2R b K - 0 27,g8h7 d5e4 g7g6 e4g6 h7g6 e7e8q,2146,84,100,32,advancedPawn attraction crushing long middlegame promotion,https://lichess.org/2WB8wpzB/black#54,
0IXZ2,5k2/6R1/7R/1r4K1/3pP3/pp1P2pB/1P6/8 w - - 8 56,g5g6 b5b6 g6h7 b6h6 h7h6 a3b2,1807,75,97,208,advancedPawn advantage endgame long,https://lichess.org/BynolU87#111,
0Il2o,7k/r7/P4r2/1p2b3/1P6/R1NP3P/2P2PK1/5R2 w - - 0 38,c3d5 a7g7 g2h1 f6f3 d3d4 f3a3,2203,76,98,61,advantage endgame long,https://lichess.org/XGH80N2z#75,
0Iuqx,2b3rk/2p2B1p/5pr1/1p6/3nP1PQ/3P3P/3q2R1/R5K1 w - - 0 27,f7g6 d4f3 g1h1 d2g2 h1g2 f3h4,1892,213,100,3,attraction crushing exposedKing fork long middlegame,https://lichess.org/gw9LREOQ#53,
0IvBV,5rk1/p2q1rp1/1p2b1Qp/2p1pP2/4B3/P2PN3/1P2PP1P/R5K1 b - - 0 33,f7f6 g6h7 g8h7 f5e6 g7g6 e6d7,2209,75,99,128,advancedPawn advantage discoveredAttack kingsideAttack long middlegame sacrifice,https://lichess.org/7vOFccRx/black#66,
0JEOa,r5k1/1p3ppp/p1p4r/3n4/P2Pq3/B3P1P1/4QP1P/1RR3K1 w - - 12 27,b1b7 d5f4 e2f1 f4h3 f1h3 h6h3,1856,141,100,8,advantage kingsideAttack long middlegame,https://lichess.org/A8TkHRsj#53,
0KOZY,4r3/pp3pkp/3p2p1/5PN1/2Pq4/3n1Q2/P5PP/5R1K b - - 0 24,d4f4 g5e6 f7e6 f3b7 g7f6 f1f4,2541,93,98,121,advantage discoveredAttack endgame long sacrifice,https://lichess.org/CBjQFsrr/black#48,
0KPBp,6k1/5pp1/1q4p1/p3Q3/p2R4/7P/1Pr2PP1/6K1 b - - 2 32,b6c6 e5b8 c6c8 d4d8 c8d8 b8d8,1877,75,97,531,advantage endgame fork long xRayAttack,https://lichess.org/kHhwZHrm/black#64,
0KwaW,1r1k3r/p5pp/4pp2/8/QP1b4/P3P3/1qbB1PPP/3RKB1R w K - 1 21,a4a5 d4b6 d2c1 c2d1 c1b2 b6a5,1937,253,100,9,defensiveMove equality long middlegame,https://lichess.org/dt8S0XDK#41,
0L5lW,r4rk1/pp3pn1/2p5/3pR1N1/8/P1P4R/1P4P1/6K1 b - - 5 26,a8e8 g5h7 e8e6 e5e6 g7e6 h7f8,2196,75,100,90,advantage endgame long,https://lichess.org/UpV6ogvB/black#52,
