PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
0G8iB,2kr4/pp1n1Rp1/2p3p1/8/4n3/2B1q1P1/PPP1B1Pr/3RQ2K w - - 0 19,h1h2 d8h8 e2h5 h8h5,1380,74,99,5129,mate mateIn2 middlegame short,https://lichess.org/HR5gIGQj#37,
0G8zo,1B4k1/1p3p2/4q1p1/2b1P2p/8/2r4P/P4QP1/3R1R1K w - - 2 32,f2f6 c3h3 g2h3 e6h3,1039,77,100,89,mate mateIn2 middlegame sacrifice short,https://lichess.org/owPurZsd#63,
0G9zC,r2q1r1k/pp2b1pp/2p1Q3/4P3/5p2/3R2B1/PP3PPP/3R2K1 b - - 0 22,f4g3 d3d8 g3f2 g1f1,853,77,100,1063,advantage middlegame short,https://lichess.org/nKntCaCk/black#44,
0GAkN,1r6/6pp/1p4r1/p1b3k1/5R2/P5P1/1P2R1KP/8 b - - 8 44,b8d8 e2e5 g5h6 f4h4,844,76,97,2027,endgame mate mateIn2 short,https://lichess.org/MeqtPDdW/black#88,
0GBAM,5r1k/6p1/2n5/1p1Nb2p/pP6/2P4P/P4BP1/5RK1 w - - 8 40,f2c5 e5h2 g1h2 f8f1,1334,76,100,139,advantage deflection endgame short,https://lichess.org/WhVC9fbz#79,
0GBv8,2rr2k1/5p1p/2pq2p1/1p6/p2B2P1/Pb3PNP/1P1Q3K/2R1R3 b - - 0 29,d6d4 e1e8 d8e8 d2d4,1021,77,97,4244,crushing deflection middlegame short,https://lichess.org/zYZKp01v/black#58,
0GDVp,1R6/1p3b2/2pk2p1/2n4p/2PK4/7P/4B1P1/8 w - - 1 49,b8f8 c5e6 d4e3 e6f8,1043,76,100,149,crushing endgame fork master short,https://lichess.org/z6fxQYjO#97,
0GE0I,8/4kppp/p3p3/1r2P3/bP6/2P2P2/4NKPP/3R4 w - - 4 30,e2d4 a4d1 d4b5 a6b5,851,75,97,2235,advantage endgame short,https://lichess.org/qC3hsIBD#59,
0GF6q,rn3rk1/p2q2pp/1p3b2/4p3/3p2Q1/3N2P1/PP3P1P/1R1NR1K1 w - - 0 21,d3e5 f6e5 g4d7 b8d7,1181,75,99,2015,crushing middlegame short,https://lichess.org/PUWBaMk3#41,
0GFFp,2r3k1/R4p2/4p1pB/p2bP1P1/2pK2P1/8/P7/8 w - - 4 35,a7a5 c4c3 a5c5 c8c5,1148,75,98,659,crushing endgame short,https://lichess.org/cEnbW118#69,
0GGWL,r4rk1/1p3pp1/pR2b3/2pNb3/4P2p/5P2/PPP5/2K2B1R b - - 3 20,a8d8 d5e7 g8h7 h1h4,1165,79,100,137,anastasiaMate kingsideAttack mate mateIn2 middlegame short,https://lichess.org/X8totykv/black#40,
0GGcX,5r2/1R3pR1/1p2rP2/p2K1kP1/2P5/P7/8/8 w - - 4 50,a3a4 f8d8 b7d7 d8d7,966,94,100,46,endgame mate mateIn2 rookEndgame short,https://lichess.org/Klb9o5Wr#99,
0GH7T,5rk1/pp3pp1/4p1N1/3q3R/6QP/1P1p2P1/P1r1p2K/4R3 b - - 1 30,d5h5 g6e7 g8h7 g4h5,1473,75,97,8378,anastasiaMate endgame intermezzo mate mateIn2 short,https://lichess.org/MjI3nXvx/black#60,
0GHgt,7r/3nkp1p/4p1pQ/2q1n1P1/4P3/P7/6PP/BB3R1K b - - 4 26,c5a3 a1e5 d7e5 h6g7,1646,75,97,148,advantage middlegame short,https://lichess.org/TKDOEiwi/black#52,
0GJaG,1k1r4/pp3pp1/2n1q3/2p5/5P2/2P1PBPp/PPQ4P/2K4R w - - 3 23,h1d1 e6e3 c1b1 e3f3,1531,75,97,3512,advantage endgame fork short,https://lichess.org/YBNSfdsY#45,
0GJec,1r4k1/5pp1/7p/4P3/2rP3P/3R2P1/2p5/2R3K1 w - - 2 34,g1f2 b8b1 c1c2 c4c2,1027,75,98,742,crushing endgame rookEndgame short,https://lichess.org/OqdKVmab#67,
0GMyT,3R4/5pk1/4qpr1/p3p2Q/P7/2p3P1/5b1P/2B3K1 w - - 0 36,g1f2 e6b6 f2e2 b6d8,1193,96,100,54,crushing endgame fork master short,https://lichess.org/TRVXMMaq#71,
0GNpm,r3r1k1/2R2pp1/p5p1/1p6/5P2/1Q2PKP1/3q3P/2R5 b - - 8 34,a8d8 b3f7 g8h8 f7g7,1120,98,100,21,endgame mate mateIn2 short,https://lichess.org/A0ImrPn2/black#68,
0GR4w,8/1R5p/8/p3PN2/4K1kP/8/2n2rP1/8 b - - 2 49,f2f5 b7g7 g4h5 e4f5,1402,76,99,3328,crushing deflection endgame short,https://lichess.org/PF9exWVC/black#98,
0GSOk,6rk/3p3p/p5r1/1p2q3/4N3/P1Pn1P2/P1Q4P/3R1R1K w - - 3 33,c2d3 e5h2 h1h2 g6h6,1540,76,98,3006,middlegame,https://lichess.org/ZkcKVtc8#65,
0GSko,3r2k1/1p2Rp1p/3P2p1/2q5/8/5Q1P/6P1/7K b - - 1 39,c5d6 f3f7 g8h8 f7h7,847,77,97,289,endgame mate mateIn2 short,https://lichess.org/mXlJXhiQ/black#78,
0GURB,5rk1/p3p1bp/5np1/1Qr3B1/3q4/3B3P/PP3PP1/3R1RK1 w - - 2 19,d3c4 d4c4 b5c4 c5c4,1550,77,100,92,advantage middlegame short,https://lichess.org/KoDSTL1M#37,
0GVqS,r3r2k/p5Bp/bpq1p2N/2p2p2/3Pp3/1BP5/PP1Q1PPP/R5K1 b - - 0 24,h8g7 d2g5 g7h8 g5f6,1157,74,98,3816,mate mateIn2 middlegame short,https://lichess.org/D6bhauTo/black#48,
0GWPK,6k1/p1p2rp1/1p1pR2p/3P1q2/2PQ4/1P4P1/P4P1P/6K1 w - - 1 31,d4e4 f5f2 g1h1 f2f1,888,75,100,86,endgame mate mateIn2 short,https://lichess.org/QZ9kqYFv#61,
0GWks,3r3r/pkp1qppp/1pn5/1QN3P1/3P4/1P2P2P/PKP5/3R2Nb b - - 3 20,b7c8 b5a6 c8b8 a6b7,921,75,97,723,mate mateIn2 middlegame queensideAttack short,https://lichess.org/4acTUUqT/black#40,
